/EstablishmentCollection/EstablishmentDetail/BusinessName,/EstablishmentCollection/EstablishmentDetail/BusinessType,/EstablishmentCollection/EstablishmentDetail/BusinessTypeID,/EstablishmentCollection/EstablishmentDetail/FHRSID,/EstablishmentCollection/EstablishmentDetail/FHRSID/#agg,/EstablishmentCollection/EstablishmentDetail/Geocode/Latitude,/EstablishmentCollection/EstablishmentDetail/Geocode/Longitude,/EstablishmentCollection/EstablishmentDetail/LocalAuthorityBusinessID,/EstablishmentCollection/EstablishmentDetail/LocalAuthorityCode,/EstablishmentCollection/EstablishmentDetail/LocalAuthorityEmailAddress,/EstablishmentCollection/EstablishmentDetail/LocalAuthorityName,/EstablishmentCollection/EstablishmentDetail/NewRatingPending,/EstablishmentCollection/EstablishmentDetail/PostCode,/EstablishmentCollection/EstablishmentDetail/RatingKey,/EstablishmentCollection/EstablishmentDetail/RatingValue,/EstablishmentCollection/EstablishmentDetail/SchemeType,/EstablishmentCollection/EstablishmentDetail/Scores/ConfidenceInManagement,/EstablishmentCollection/EstablishmentDetail/Scores/Hygiene,/EstablishmentCollection/EstablishmentDetail/Scores/Structural,/Header/ExtractDate
92 Degrees,Restaurant/Cafe/Canteen,1,1820934,1820934,53.4803468,-2.2465343,AC-072024-015850,415,envhealth@manchester.gov.uk,Manchester,FALSE,M2 6HY,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
92 Degrees,Restaurant/Cafe/Canteen,1,1820933,1820933,53.4797477,-2.2493938,AC-072024-015849,415,envhealth@manchester.gov.uk,Manchester,FALSE,M3 3EB,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
961 Flavours LTD,Takeaway/sandwich shop,7844,1839331,1839331,53.474661,-2.219344,AC052025-22240,415,envhealth@manchester.gov.uk,Manchester,FALSE,M12 6FA,fhrs_5_en-GB,5,FHRS,5,0,0,27/01/2026
99 Reasons,Restaurant/Cafe/Canteen,1,1818417,1818417,53.446779,-2.27781,AC-072024-007614,415,envhealth@manchester.gov.uk,Manchester,FALSE,M21 9GA,fhrs_4_en-GB,4,FHRS,5,5,10,27/01/2026
9inety6ix,Pub/bar/nightclub,7843,1906916,1906916,53.4735131,-2.2459415,AC122025-25388,415,envhealth@manchester.gov.uk,Manchester,FALSE,M15 4RA,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
9ja Jollof,Other catering premises,7841,1822021,1822021,,,AC112024-19092,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
A & A News,Retailers - other,4613,1831277,1831277,53.452604,-2.244689,AC-072024-013341,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 7LT,fhrs_5_en-GB,5,FHRS,0,0,5,27/01/2026
A & A Pharmacy,Retailers - other,4613,1819385,1819385,53.454513,-2.225154,AC-072024-013947,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 5AL,fhrs_exempt_en-GB,Exempt,FHRS,,,,27/01/2026
A & C Booth,Retailers - other,4613,1831265,1831265,53.532618,-2.212911,AC-072024-013276,415,envhealth@manchester.gov.uk,Manchester,FALSE,M9 6RG,fhrs_5_en-GB,5,FHRS,0,0,5,27/01/2026
A & H Off Licence Ltd,Retailers - other,4613,1816086,1816086,53.515693,-2.20714,AC-072024-013465,415,envhealth@manchester.gov.uk,Manchester,FALSE,M9 4DZ,fhrs_4_en-GB,4,FHRS,10,5,5,27/01/2026
A & J Off Licence,Retailers - other,4613,1821205,1821205,53.4474645,-2.2374287,AC-072024-016162,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 7LE,fhrs_4_en-GB,4,FHRS,10,0,5,27/01/2026
A & S Off Licence also T/as Go Local,Retailers - other,4613,1820136,1820136,53.467624,-2.249114,AC-072024-014885,415,envhealth@manchester.gov.uk,Manchester,FALSE,M15 5TL,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
A & T FISHMONGER,Retailers - other,4613,1821856,1821856,53.4515949,-2.2024142,AC092024-18241,415,envhealth@manchester.gov.uk,Manchester,FALSE,M13 0TA,fhrs_1_en-GB,1,FHRS,20,10,20,27/01/2026
A Dairy of River,Other catering premises,7841,1817289,1817289,,,AC-072024-006026,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_4_en-GB,4,FHRS,10,0,0,27/01/2026
A Good Life,Retailers - other,4613,1894367,1894367,53.5323668,-2.2356575,AC082025-23764,415,envhealth@manchester.gov.uk,Manchester,FALSE,M9 8PD,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
A Little Sweet,Takeaway/sandwich shop,7844,1817162,1817162,53.4715471,-2.2188695,AC-072024-005875,415,envhealth@manchester.gov.uk,Manchester,FALSE,M12 6DA,fhrs_5_en-GB,5,FHRS,0,0,5,27/01/2026
A Nice Sip,Retailers - other,4613,1816507,1816507,53.4837412,-2.2391547,AC-072024-005093,415,envhealth@manchester.gov.uk,Manchester,FALSE,M4 3AH,fhrs_4_en-GB,4,FHRS,5,10,5,27/01/2026
A Piece of Cake,Retailers - other,4613,1831218,1831218,53.4880683,-2.2327589,AC052025-22033,415,envhealth@manchester.gov.uk,Manchester,FALSE,M4 4HU,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
A Plus Oriental Restaurant,Restaurant/Cafe/Canteen,1,1820078,1820078,53.4790466,-2.2405598,AC-072024-014815,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 4HF,fhrs_1_en-GB,1,FHRS,20,15,15,27/01/2026
A Sporting Chance,Restaurant/Cafe/Canteen,1,1831033,1831033,,,AC032025-21249,415,envhealth@manchester.gov.uk,Manchester,FALSE,M90 3DF,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
A$AP Coffee,Restaurant/Cafe/Canteen,1,1821466,1821466,53.4718227,-2.2377919,AC-072024-016478,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 7ED,fhrs_4_en-GB,4,FHRS,10,0,5,27/01/2026
A&BONLINENUTRITION LTD,Retailers - other,4613,1816674,1816674,53.4969401,-2.2382673,AC-072024-005297,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 8LG,fhrs_5_en-GB,5,FHRS,5,5,0,27/01/2026
A1 Balti House,Takeaway/sandwich shop,7844,1818903,1818903,53.410981,-2.276358,AC-072024-013367,415,envhealth@manchester.gov.uk,Manchester,FALSE,M23 0BX,fhrs_4_en-GB,4,FHRS,10,5,5,27/01/2026
A1 Pound Store,Retailers - other,4613,1820343,1820343,53.4555476,-2.1983218,AC-072024-015140,415,envhealth@manchester.gov.uk,Manchester,FALSE,M13 0RX,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
A6 Off Licence,Retailers - other,4613,1816513,1816513,53.446743,-2.191025,AC-072024-005100,415,envhealth@manchester.gov.uk,Manchester,FALSE,M19 3DL,fhrs_4_en-GB,4,FHRS,10,0,5,27/01/2026
AA Veg Ltd,Retailers - other,4613,1821473,1821473,53.4715533,-2.1771851,AC-072024-016485,415,envhealth@manchester.gov.uk,Manchester,FALSE,M11 2WW,fhrs_1_en-GB,1,FHRS,20,10,10,27/01/2026
Aahaa indian kitchen & Bar,Restaurant/Cafe/Canteen,1,1894394,1894394,53.4475525,-2.2774686,AC082025-23869,415,envhealth@manchester.gov.uk,Manchester,FALSE,M21 9PG,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Aaneys Catering,Other catering premises,7841,1894524,1894524,,,AC092025-24410,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Aatma,Restaurant/Cafe/Canteen,1,1816993,1816993,53.48268509,-2.232928038,AC-072024-005669,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 1BE,fhrs_3_en-GB,3,FHRS,10,5,10,27/01/2026
AB Afro Caribbean Food Store,Retailers - other,4613,1820967,1820967,53.4535653,-2.2447239,AC-072024-015885,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 4RL,fhrs_1_en-GB,1,FHRS,20,15,15,27/01/2026
Abakus - U Marlenki Ltd,Retailers - other,4613,1816483,1816483,53.409445,-2.256175,AC-072024-005062,415,envhealth@manchester.gov.uk,Manchester,FALSE,M22 4HH,fhrs_5_en-GB,5,FHRS,5,0,0,27/01/2026
ABAN Express,Other catering premises,7841,1867643,1867643,,,AC082025-23501,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Abaseen,Takeaway/sandwich shop,7844,1820175,1820175,53.5107508,-2.2439662,AC-072024-014928,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 9JW,fhrs_2_en-GB,2,FHRS,10,15,15,27/01/2026
Abaseen,Restaurant/Cafe/Canteen,1,1816633,1816633,53.4402397,-2.1876673,AC-072024-005245,415,envhealth@manchester.gov.uk,Manchester,FALSE,M19 2SY,fhrs_3_en-GB,3,FHRS,10,10,10,27/01/2026
Abbey College Manchester,School/college/university,7845,1817485,1817485,53.4838526,-2.2373923,AC-072024-006251,415,envhealth@manchester.gov.uk,Manchester,FALSE,M4 1DG,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Abbey Hey AFC,Other catering premises,7841,1819392,1819392,53.45655422,-2.16593107,AC-072024-013957,415,envhealth@manchester.gov.uk,Manchester,FALSE,M18 7HD,fhrs_4_en-GB,4,FHRS,10,0,0,27/01/2026
Abbey Hey Before & After School Club,Hospitals/Childcare/Caring Premises,5,1818012,1818012,53.4645796,-2.1637805,AC-072024-006872,415,envhealth@manchester.gov.uk,Manchester,FALSE,M18 8RR,fhrs_4_en-GB,4,FHRS,10,0,0,27/01/2026
Abbey Hey Mini Market,Retailers - other,4613,1820419,1820419,53.466535,-2.1601729,AC-072024-015235,415,envhealth@manchester.gov.uk,Manchester,FALSE,M18 8RP,fhrs_3_en-GB,3,FHRS,10,5,10,27/01/2026
Abbey Hey Primary Academy also T/as Taylorshaw @ Abbey Hey Academy,School/college/university,7845,1816630,1816630,,,AC-072024-005242,415,envhealth@manchester.gov.uk,Manchester,FALSE,M18 8PF,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Abbey Hey Superstore,Retailers - other,4613,1820997,1820997,53.4689875,-2.1651483,AC-072024-015919,415,envhealth@manchester.gov.uk,Manchester,FALSE,M18 8QU,fhrs_4_en-GB,4,FHRS,10,0,0,27/01/2026
Abbey Hotel,Hotel/bed & breakfast/guest house,7842,1819095,1819095,53.5100032,-2.2357893,AC-072024-013617,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 0NG,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Abbey's Cafe,Restaurant/Cafe/Canteen,1,1817117,1817117,53.4563446,-2.166249037,AC-072024-005821,415,envhealth@manchester.gov.uk,Manchester,FALSE,M18 7HD,fhrs_4_en-GB,4,FHRS,10,0,5,27/01/2026
Abbotsford Nursing Home,Hospitals/Childcare/Caring Premises,5,1819350,1819350,53.454405,-2.260361,AC-072024-013903,415,envhealth@manchester.gov.uk,Manchester,FALSE,M16 8BB,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Abbott Community Primary School,School/college/university,7845,1819354,1819354,53.4888444,-2.22462503,AC-072024-013907,415,envhealth@manchester.gov.uk,Manchester,FALSE,M40 7PR,fhrs_2_en-GB,2,FHRS,10,0,15,27/01/2026
Abdul's food to go,Takeaway/sandwich shop,7844,1819447,1819447,53.440635,-2.219962,AC-072024-014021,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 6XQ,fhrs_3_en-GB,3,FHRS,10,10,10,27/01/2026
Abduls Supermarket & Off Licence,Retailers - other,4613,1831275,1831275,53.4634823,-2.2389514,AC-072024-013328,415,envhealth@manchester.gov.uk,Manchester,FALSE,M15 6NQ,fhrs_2_en-GB,2,FHRS,10,15,0,27/01/2026
Abeja Tapas Bar also T/as Abeja Tapas Mobile,Other catering premises,7841,1817247,1817247,,,AC-072024-005972,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,5,0,0,27/01/2026
ABELON,Retailers - other,4613,1818214,1818214,,,AC-072024-007128,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Abepina Food Corner,Other catering premises,7841,1818350,1818350,,,AC-072024-007511,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Abigail Kitchen,Takeaway/sandwich shop,7844,1870677,1870677,53.4608549,-2.2216462,AC072025-23082,415,envhealth@manchester.gov.uk,Manchester,FALSE,M13 0HR,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Abode Manchester,Hotel/bed & breakfast/guest house,7842,1818993,1818993,53.4798,-2.232897,AC-072024-013494,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 2DB,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Abraham Moss Community Primary School,School/college/university,7845,1894491,1894491,,,AC092025-24275,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 5UF,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Abraham Moss High School,School/college/university,7845,1818165,1818165,53.512423,-2.235655,AC-072024-007055,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 5UF,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Abu Mazen Mini Market,Retailers - other,4613,1820479,1820479,53.4552387,-2.2439503,AC-072024-015307,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 4RN,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Aby's,Restaurant/Cafe/Canteen,1,1821440,1821440,53.5157633,-2.2365754,AC-072024-016448,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 5SF,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Aby's Biryani Rusholme,Restaurant/Cafe/Canteen,1,1821637,1821637,53.453348,-2.222919,AC072024-16701,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 5AQ,fhrs_4_en-GB,4,FHRS,10,0,10,27/01/2026
AC Hotel by Marriot,Hotel/bed & breakfast/guest house,7842,1820150,1820150,53.4865036,-2.233913898,AC-072024-014900,415,envhealth@manchester.gov.uk,Manchester,FALSE,M4 5FT,fhrs_5_en-GB,5,FHRS,0,0,5,27/01/2026
AC ICES - Sivoris - (PN66 KDF),Mobile caterer,7846,1831097,1831097,53.44598,-2.178691,AC042025-21503,415,envhealth@manchester.gov.uk,Manchester,FALSE,M19 3HQ,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Acacia Lodge,Hospitals/Childcare/Caring Premises,5,1821343,1821343,53.5172883,-2.1696992,AC-072024-016339,415,envhealth@manchester.gov.uk,Manchester,FALSE,M40 3WQ,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Acacias Community Primary School,School/college/university,7845,1820755,1820755,53.436599,-2.19965,AC-072024-015626,415,envhealth@manchester.gov.uk,Manchester,FALSE,M19 2WW,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Acai And The Tribe,Restaurant/Cafe/Canteen,1,1822017,1822017,53.4773251,-2.2498974,AC112024-19088,415,envhealth@manchester.gov.uk,Manchester,FALSE,M3 4EN,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Acai Bowls MCR,Restaurant/Cafe/Canteen,1,1818316,1818316,,,AC-072024-007463,415,envhealth@manchester.gov.uk,Manchester,FALSE,M2 5QR,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
ACAII,Restaurant/Cafe/Canteen,1,1870744,1870744,53.441678,-2.276136,AC072025-23319,415,envhealth@manchester.gov.uk,Manchester,FALSE,M21 8AD,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Accent Catering,Other catering premises,7841,1817408,1817408,53.36743,-2.265195,AC-072024-006153,415,envhealth@manchester.gov.uk,Manchester,FALSE,M22 5TG,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
ACCG - The Claremont Centre,Hospitals/Childcare/Caring Premises,5,1819326,1819326,53.4652306,-2.2499875,AC-072024-013876,415,envhealth@manchester.gov.uk,Manchester,FALSE,M15 5FS,fhrs_5_en-GB,5,FHRS,0,5,5,27/01/2026
ACE Newsagent,Retailers - other,4613,1817173,1817173,53.445159,-2.191861,AC-072024-005887,415,envhealth@manchester.gov.uk,Manchester,FALSE,M19 3AD,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Achieve Together,Hospitals/Childcare/Caring Premises,5,1820043,1820043,53.512505,-2.239682,AC-072024-014763,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 9WT,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Acityunitedcafe,Restaurant/Cafe/Canteen,1,1816983,1816983,53.4831736,-2.1875884,AC-072024-005658,415,envhealth@manchester.gov.uk,Manchester,FALSE,M11 4RP,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Acorn Grove Nursery,Hospitals/Childcare/Caring Premises,5,1816840,1816840,53.508993,-2.238275,AC-072024-005489,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 0NE,fhrs_5_en-GB,5,FHRS,0,5,5,27/01/2026
Across Ummah CIC,Retailers - other,4613,1820992,1820992,53.46385895,-2.16841625,AC-072024-015912,415,envhealth@manchester.gov.uk,Manchester,FALSE,M18 8PE,fhrs_5_en-GB,5,FHRS,0,0,5,27/01/2026
Ad - Hoc Wines,Retailers - other,4613,1819501,1819501,53.4843333,-2.2365452,AC-072024-014086,415,envhealth@manchester.gov.uk,Manchester,FALSE,M4 1HN,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Ad Maiora,Takeaway/sandwich shop,7844,1818480,1818480,53.4852145,-2.2257511,AC-072024-007688,415,envhealth@manchester.gov.uk,Manchester,FALSE,M4 6AY,fhrs_5_en-GB,5,FHRS,0,5,5,27/01/2026
AD MAIORA,Takeaway/sandwich shop,7844,1816285,1816285,53.4839125,-2.2343788,AC022025-20357,415,envhealth@manchester.gov.uk,Manchester,FALSE,M4 1LG,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Adams Caterers,Mobile caterer,7846,1820841,1820841,53.393321,-2.290544,AC-072024-015732,415,envhealth@manchester.gov.uk,Manchester,FALSE,M23 9NR,fhrs_4_en-GB,4,FHRS,10,0,10,27/01/2026
Adam's Minimarket,Retailers - other,4613,1821005,1821005,53.4487181,-2.1918304,AC-072024-015928,415,envhealth@manchester.gov.uk,Manchester,FALSE,M19 3AG,fhrs_4_en-GB,4,FHRS,10,0,10,27/01/2026
Adams News,Retailers - other,4613,1820875,1820875,53.517227,-2.237883,AC-072024-015777,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 5SG,fhrs_5_en-GB,5,FHRS,0,0,5,27/01/2026
